Coptic,English,File Path,Start Line,End Line
ⲉⲩⲉ ⲉϥϫⲱ ⲙⲙⲟⲥ . ϫⲉⲉⲓⲟⲩⲱϣ ⲉⲧⲟⲩϫⲉⲧⲁⲯⲩⲭⲏ .,"…he saying, “I desire to save my soul.”",AP/apophthegmata.patrum_CONLLU/AP.001.n135.mother.conllu,5,24
ⲛⲧⲟⲥ ⲇⲉ ⲁⲥϩⲓⲥⲉ ⲉⲥϣⲱϣⲧ ⲙⲙⲟϥ ⲙⲡⲉⲥϣϭⲙϭⲟⲙ ⲉⲣⲟϥ,"She labored to stop him, but she was not able.",AP/apophthegmata.patrum_CONLLU/AP.001.n135.mother.conllu,29,49
ⲙⲛⲛⲥⲱⲥ ⲁⲥⲕⲁⲁϥ ⲉⲃⲟⲗ .,"Afterwards, she left him.",AP/apophthegmata.patrum_CONLLU/AP.001.n135.mother.conllu,54,63
ⲛⲧⲉⲣⲉϥⲃⲱⲕ ⲇⲉ ⲛϥⲣⲙⲟⲛⲁⲭⲟⲥ ⲁϥϣⲱⲡⲉ ϩⲛⲟⲩⲁⲙⲉⲗⲓⲁ . ⲁⲩⲱ ⲁϥϫⲉⲡⲉϥⲁϩⲉ ⲉⲃⲟⲗ ⲕⲁⲕⲱⲥ .,"When he had gone and become a monk, he became negligent, and he badly spent his life.",AP/apophthegmata.patrum_CONLLU/AP.001.n135.mother.conllu,68,95
ⲁⲥϣⲱⲡⲉ ⲇⲉ ⲛⲧⲉⲣⲉⲧⲉϥⲙⲁⲁⲩ ⲙⲟⲩ . ⲙⲛⲛⲥⲁⲟⲩⲟⲉⲓϣ ⲇⲉ ⲁϥϣⲱⲛⲉ ϩⲛⲟⲩⲛⲟϭ ⲛϣⲱⲛⲉ . ϩⲱⲥⲧⲉ ⲛϥϣⲱⲡⲉ ϩⲛⲟⲩⲉⲕⲥⲧⲁⲥⲓⲥ ⲉⲧⲣⲉⲩⲧⲟⲣⲡϥ ⲉⲧⲉⲕⲣⲓⲥⲓⲥ .,"And it happened, when his mother had died, after some time, he became very ill so that he became ecstatic, being carried off to the Judgment.",AP/apophthegmata.patrum_CONLLU/AP.001.n135.mother.conllu,100,146
ⲁⲩⲱ ⲁϥϭⲓⲛⲉ ⲛⲧⲉϥⲙⲁⲁⲩ ⲙⲙⲁⲩ ⲙⲛⲛⲉⲧⲟⲩⲕⲣⲓⲛⲉ ⲙⲙⲟⲟⲩ .,And there he found his mother and those who judge.,AP/apophthegmata.patrum_CONLLU/AP.001.n135.mother.conllu,151,170
ⲛⲧⲟⲥ ⲇⲉ ⲛⲧⲉⲣⲉⲥⲛⲁⲩ ⲉⲣⲟϥ ⲁⲥⲡⲱϣⲥ .,"When she saw him, she was amazed.",AP/apophthegmata.patrum_CONLLU/AP.001.n135.mother.conllu,175,188
ⲁⲩⲱ ⲡⲉϫⲁⲥ ⲛⲁϥ . ϫⲉⲟⲩ ⲡⲉ ⲡⲁⲓ ⲡⲁϣⲏⲣⲉ ⲉⲧⲣⲉⲕⲉⲓ ϩⲱⲱⲕ ⲉⲡⲉⲓⲙⲁ ϩⲱⲥⲧⲉ ⲉⲧⲣⲉⲩⲕⲣⲓⲛⲉ ⲙⲙⲟⲕ ϩⲱⲱⲕ .,"And she said to him, “What is this, my son, that you come yourself to this place in order to be judged?",AP/apophthegmata.patrum_CONLLU/AP.001.n135.mother.conllu,193,233
ⲉⲩⲧⲱⲛ ⲛⲉⲕϣⲁϫⲉ ⲉⲧⲉⲕϫⲱ ⲙⲙⲟⲟⲩ ϫⲉⲉⲓⲟⲩⲉϣ ⲉⲧⲟⲩϫⲉⲧⲁⲯⲩⲭⲏ .,"And where are your words that you spoke, ‘I desire to save my soul’?”",AP/apophthegmata.patrum_CONLLU/AP.001.n135.mother.conllu,238,262
ⲁϥϣⲓⲡⲉ ⲇⲉ ⲉϫⲛ ⲛⲉⲛⲧⲁϥⲥⲟⲧⲙⲟⲩ,And he was ashamed because of the things that he heard.,AP/apophthegmata.patrum_CONLLU/AP.001.n135.mother.conllu,267,279
ⲁϥⲁϩⲉⲣⲁⲧϥ ⲉϥⲟⲕⲙ . ⲉⲙⲛⲧϥ ⲗⲁⲁⲩ ⲛⲁⲡⲟⲗⲟⲅⲓⲁ ⲉϫⲱ ⲛⲁⲥ .,"He stood sadly, not having any apology to offer her.",AP/apophthegmata.patrum_CONLLU/AP.001.n135.mother.conllu,284,309
ⲕⲁⲧⲁⲟⲩⲟⲓⲕⲟⲛⲟⲙⲓⲁ ⲇⲉ ⲛⲧⲉ ⲡⲛⲟⲩⲧⲉ ⲡⲙⲁⲓⲣⲱⲙⲉ .. ϣⲱⲡⲉ ⲉⲧⲣⲉϥⲗⲟϭ ⲙⲡϣⲱⲛⲉ ⲙⲛⲛⲥⲁⲉⲧⲣⲉϥⲛⲁⲩ ..... ⲛⲟⲓ ϩⲙⲡⲉϥ ....,"According to the economy of God, the lover of man…it happened that he recovered from the illness, after He saw…in his…",AP/apophthegmata.patrum_CONLLU/AP.001.n135.mother.conllu,314,348
ⲛⲧⲁⲡⲉⲓϭⲙϣⲓⲛⲉ ϣⲱⲡⲉ ⲛ .. ⲉⲃⲟⲗ ϩⲓⲧⲙ ⲡⲛⲟⲩⲧⲉ . ⲁϥⲟⲧⲡϥ ϭⲉ ⲉϩⲟⲩⲛ ⲙⲁⲩⲁⲁϥ .,"From this inquiry happening…through God, he confined himself.",AP/apophthegmata.patrum_CONLLU/AP.001.n135.mother.conllu,353,377
ⲙⲛⲛⲥⲱⲥ ⲁϥϩⲙⲟⲟⲥ ⲉϩⲣⲁⲓ ⲉϥⲫⲣⲟⲛⲧⲓⲍⲉ ⲉⲡⲉϥⲟⲩϫⲁⲓ . ⲁⲩⲱ ⲉϥⲣⲓⲙⲉ ⲉϫⲛⲛⲉⲛⲧⲁϥⲁⲁⲩ ϩⲛⲟⲩⲙⲛⲧⲁⲙⲉⲗⲏⲥ ⲛϣⲟⲣⲡ .,"Afterwards, he sat down, reflecting upon his health and crying over the neglectful things he had done earlier.",AP/apophthegmata.patrum_CONLLU/AP.001.n135.mother.conllu,382,419
