Coptic,English,File Path,Start Line,End Line
ⲁⲩⲱ ⲛⲧⲉⲣⲉⲡⲁⲓ ϣⲱⲡⲉ ⲁⲩⲧⲱⲕ ⲛϩⲏⲧ ⲛϭⲓⲙⲙⲁⲑⲏⲧⲏⲥ ⲧⲏⲣⲟⲩ ⲁⲩⲉⲓ ⲉⲣⲁⲧϥ ⲛⲓⲏⲥⲟⲩⲥ ⲁⲩⲡⲁϩⲧⲟⲩ ⲧⲏⲣⲟⲩ ϩⲓⲟⲩⲥⲟⲡ ⲁⲩⲟⲩⲱϣⲧ ⲛⲁϥ ⲉⲩⲣⲁϣⲉ ϩⲛⲟⲩⲛⲟϭ ⲛⲣⲁϣⲉ ·,"and this having happened were confident of heart all the disciples, they came up to foot of Jesus, they prostrated all, at once, they worshipped to him rejoicing in great joy.",pistis-sophia/pistis.sophia_CONLLU/pistis.sophia_book_1_part1.conllu,3354,3413
ⲁⲕϣⲱⲡⲉ ⲛⲁⲣⲭⲏϩⲓⲁⲧⲣⲟⲥ ⲉⲕⲑⲉⲣⲁⲡⲉⲩⲉ ⲛⲟⲩⲟⲛ ⲛⲓⲙ ϩⲛⲟⲩϩⲏⲧ ⲛⲁⲅⲁⲑⲟⲥ ·,"Thou wast a master -physician who did heal every one, with a benevolent heart.",life-pisentius/life.pisentius_CONLLU/life.pisentius.02.conllu,5596,5618
ⲁⲩⲱ ϣⲁϫⲉ ⲛⲓⲙ ⲛⲧⲁϥϫⲟⲟⲩ ⲙⲡⲁⲧⲟⲩϥⲓ ⲛⲧⲉϥⲁⲡⲉ · ⲁⲩϣⲱⲡⲉ ⲛⲁⲙⲉ ·,And all the words which he spake before they took off his head came true.,martyrdom-victor/martyrdom.victor_CONLLU/martyrdom.victor.08.conllu,1599,1622
ⲉⲧⲃⲉⲡⲁⲓ ⲙⲡⲣⲧⲣⲉⲛϣⲱⲡⲉ ⲉⲛϫⲱ ⲙⲡϭⲟⲗ ·,Therefore let us not lie,abraham/shenoute.abraham_CONLLU/YA547-550.conllu,1315,1330
ⲁⲩⲙⲉⲉⲩⲉ ⲇⲉ ⲉⲓⲉ ⲡⲁϩⲏⲧ ⲁⲓϫⲓ ⲛⲟⲩϭⲟⲣⲧⲉ ϩⲛⲧⲁϭⲓϫ ·,"but the thought came into my heart, and I took a butcher's knife in my hand,",pseudo-flavianus/pseudo.flavianus_CONLLU/psflavianus.encomium.02.conllu,4001,4022
ϫⲉⲛϯⲛⲁⲑⲩⲥⲓⲁⲍⲉ ⲁⲛ ·,I will not offer up sacrifice,martyrdom-victor/martyrdom.victor_CONLLU/martyrdom.victor.04.conllu,3078,3085
ⲡⲉϫⲁϥ ⲛⲁⲩ ϫⲉϯⲣⲏⲛⲏ ⲛⲏⲧⲛ ⲛⲁⲥⲛⲏⲩ ·,"And he said unto them, 'Peace be unto you, O my brethren!'",life-eustathius-theopiste/life.eustathius.theopiste_CONLLU/life.eustathius.theopiste.02.conllu,860,875
ⲁⲗⲗⲁ ϫⲱ ⲉⲣⲟⲓ ⲛⲛⲕⲟⲟⲩⲉ ⲡⲉϫⲁⲕ ⲉⲓϣⲁϫⲉ ⲉⲣⲟⲕ ⲱ ⲡⲓⲟⲩⲇⲁⲓ · ⲛϯϣⲓⲡⲉ ⲁⲛ ⲉⲓⲱϣ ⲉⲃⲟⲗ ϩⲛⲟⲩⲛⲟϭ ⲛⲥⲙⲏ ·,"But thou sayest (, O Jew), 'Declare unto me other (things).' I tell thee, O Jew, that I am not ashamed to declare (them) with a loud voice",proclus-homilies/proclus.homilies_CONLLU/proclus.23.nativity.conllu,2527,2568
ⲧⲙⲛⲧⲣⲣⲟ ⲅⲁⲣ ⲙⲡⲛⲟⲩⲧⲉ ⲛⲉⲥϩⲛϣⲁϫⲉ ⲁⲛ . ⲁⲗⲗⲁ ϩⲛⲟⲩϭⲟⲙ .,"For the Kingdom of God is not in word, but in power.",coptic-treebank/coptic.treebank_CONLLU/1Cor_04.conllu,836,857
ϯϩⲧⲏⲕ ⲉⲡⲙⲁⲉⲓⲛ ⲉϥϩⲛⲛϣⲏⲣⲉ ⲛⲁⲇⲁⲙ ·,"Consider then, with great attention the sign which is in the sons of Adam.'",mysteries-john/mysteries.john_CONLLU/mysteries.john.02.conllu,1484,1501
ⲁⲛⲧⲟⲟⲩⲥ ⲛⲟⲉⲓⲛ ⲛⲃⲟⲩⲛⲟⲥ ⲁⲩϣⲧⲟⲣⲧⲣ ⲁⲩⲕⲓⲙ ·,"The mountains thereof trembled, and the hills shook and quaked.",pseudo-athanasius-discourses/pseudo.athanasius.discourses_CONLLU/soul_body.conllu,7690,7707
ⲁⲕⲧⲁⲙⲓⲟ ⲛⲁⲕ ⲛϩⲉⲛϩⲟⲓⲧⲉ · ⲛⲉⲡⲟⲩⲣⲁⲛⲓⲟⲛ ⲉⲃⲟⲗ ϩⲙⲡϣⲛⲥ · ⲙⲛⲡϫⲏⲕⲉ · ⲁⲩⲱ ⲁⲕⲧⲱⲱϭⲉ ⲛⲟⲩⲙⲁ ⲛⲉⲗⲟⲟⲗⲉ ⲉⲃⲟⲗ ϩⲙⲡⲕⲁⲣⲡⲟⲥ ⲛⲛⲉⲕϭⲓϫ ·,"Thou didst make for thyself celestial garments of byssus and purple, and thou didst plant a vineyard of the fruit of thy hand.",life-pisentius/life.pisentius_CONLLU/life.pisentius.02.conllu,6059,6106
ⲁⲕϣⲱⲡⲉ ⲛϩⲃⲥⲱ ⲛⲛⲉⲧⲕⲏ ⲕⲁϩⲏⲩ · ⲁⲩⲱ ⲛⲉⲛⲇⲩⲙⲁ ⲛⲛⲉⲧⲕⲏ ⲕⲁϩⲏⲩ ·,"Thou wast apparel unto those who were naked, and a garment for those whose nakedness was uncovered.",life-pisentius/life.pisentius_CONLLU/life.pisentius.02.conllu,4399,4423
ⲉⲓⲥϩⲏⲗⲓⲁⲥ ϩⲱⲱϥ ⲙⲛⲉⲛⲱⲭ ⲁⲩϫⲓⲧⲟⲩ ⲉⲧⲙⲛⲧⲣⲣⲟ ⲛⲙⲡⲏⲩⲉ ϩⲙⲙⲁ ϭⲉ ⲛⲓⲙ ·,"Behold, Elijah and Enoch were taken into the kingdom of the heavens with all glory.",pachomius-instructions/pachomius.instructions_CONLLU/pachomius.instructions.01.conllu,6593,6620
ⲁⲛⲁⲩ ⲉⲧⲙⲛⲧⲥⲁⲃⲏ ⲛⲧⲉⲓⲥϩⲓⲙⲉ ·,Consider the wisdom of this woman!,pseudo-chrysostom/pseudo.chrysostom_CONLLU/canaanite.conllu,2868,2877
